GeneID	GSM3407115	GSM3407116	GSM3407117	GSM3407118	GSM3407119	GSM3407120	GSM3407121	GSM3407122	GSM3407123	GSM3407124	GSM3407125	GSM3407126	GSM3407127	GSM3407128	GSM3407129	GSM3407130	GSM3407131	GSM3407132	GSM3407133	GSM3407134	GSM3407135
100287102	0.1334	0.1584	0.0811	0.1026	0.1333	0.08796	0.09164	0.1366	0.09882	2.232	2.304	2.128	1.308	1.313	1.385	0.2544	0.08467	0.2289	0.07816	0.07076	0.07892
653635	6.769	5.769	6.703	6.322	6.183	5.942	8.13	7.698	7.152	27.28	30.75	29.23	28.16	26.18	25.82	13.54	12.65	12.76	11.9	12.82	10.98
102466751	6.482	4.81	4.926	4.984	4.318	4.274	7.792	7.745	7.202	21.69	19.9	21.44	20.07	18.22	17.44	10.3	10.28	7.416	5.697	6.877	7.669
107985730	0	0	0	0	0	0	0	0	0	0.3045	0.7861	0.6376	0.4228	0.144	0	0.5207	0.52	0.4687	0.24	0.2173	0.2423
100302278	0	0	0	0	0	0	0	0	0	0	0.6129	0	0	0	0	0	0	0.9136	0	0	0
645520	0.2601	0.4632	0.2371	0	0	0.04287	0	0	0	0.0725	0.07485	0	0	0	0	0	0	0.1116	0	0	0.1154
79501	0	0	0	0	0	0	0	0	0	0	0	0.09341	0.1239	0	0	0	0	0	0	0	0
100996442	0.4654	0.6417	0.4928	0.554	0.435	0.3761	0.4331	0.4766	0.6671	1.624	1.538	1.91	1.092	1.329	0.8483	0.7155	0.8574	0.8501	1.583	1.481	1.039
729737	1.866	1.829	1.652	2.058	2.012	1.345	2.378	2.254	2.341	2.095	2.055	1.99	1.309	1.287	0.9751	9.877	9.403	8.706	4.812	5.489	4.668
102725121	0.2286	0.08142	0.08337	0.1054	0.137	0.03014	0.0942	0.1873	0.05079	4.537	3.632	3.949	2.548	2.265	2.162	0.1743	0.08704	0.2354	0.1607	0.1455	0
102723897	9.011	7.839	8.521	8.467	8.671	8.554	10.53	10.81	10.57	33.22	36.79	36.67	35.46	33.78	33.82	16.54	14.77	14.89	13.49	14.01	12.51
102465909	2.161	0.9621	1.97	2.492	2.159	2.137	3.339	2.213	3.601	12.05	18.66	15.13	18.4	14.81	9.968	4.12	8.228	5.562	3.798	5.158	5.752
107985721	0.0543	0	0.02476	0	0	0	0	0	0	0.2119	0.2813	0.3803	0.08406	0.05724	0.03131	0.1553	0.05169	0.1398	0.09543	0.1296	0.09636
112268260	0.4012	0.3275	0.2032	0.4112	0.412	0.4408	0.4133	0.4108	0.52	0.4597	0.5388	0.5203	0.4658	0.5403	0.3727	0.6799	0.5516	0.5928	1.41	1.56	0.8503
729759	0	0	0	0	0	0	0.08061	0	0	0	0.09008	0	0	0	0	0	0	0.1343	0	0	0
100132287	3.194	3.039	3.005	2.966	3.208	2.372	3.707	4.046	3.605	4.274	4.51	4.101	2.473	2.587	1.764	16.86	16.36	15.81	8.657	9.657	7.697
105378947	0.06271	0.08377	0.08577	0.1446	0.1253	0.1447	0.1292	0.09634	0.209	0.1748	0.1083	0.1464	0.1942	0.1322	0.07233	0.2391	0.1194	0.3228	0.9369	0.5987	0.2782
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1062	0	0	0	0	0	0
113219467	31.04	31.33	33.97	34.61	35.15	32.06	42.64	30.73	43.69	1307	1669	1448	1618	1638	1967	63.13	98.5	119	87.29	92.21	84.47
81399	0.01271	0.05659	0.02318	0	0.0254	0.05866	0.03929	0.02603	0.08473	0.1276	0.1317	0.08902	0.03936	0.0402	0.02932	0.0727	0.1694	0.1963	0.06702	0.2225	0.1579
100133331	2.751	2.802	2.54	2.915	3.024	2.018	3.33	3.61	3.477	5.157	5.325	5.399	2.688	2.791	1.963	16.16	13.39	12.89	7.826	8.673	7.75
107984841	0.3967	0.7065	0.5787	0.4575	0.4756	0.2092	0.327	0.8125	0.7933	2.831	4.111	3.149	1.72	1.924	1.281	2.42	1.813	3.131	1.673	1.767	1.83
