GeneID	GSM3407115	GSM3407116	GSM3407117	GSM3407118	GSM3407119	GSM3407120	GSM3407121	GSM3407122	GSM3407123	GSM3407124	GSM3407125	GSM3407126	GSM3407127	GSM3407128	GSM3407129	GSM3407130	GSM3407131	GSM3407132	GSM3407133	GSM3407134	GSM3407135
100287102	3	4	2	2	3	3	2	3	2	45	45	41	19	28	27	3	1	3	1	1	1
653635	163	156	177	132	149	217	190	181	155	589	643	603	438	598	539	171	160	179	163	194	149
102466751	6	5	5	4	4	6	7	7	6	18	16	17	12	16	14	5	5	4	3	4	4
107985730	0	0	0	0	0	0	0	0	0	2	5	4	2	1	0	2	2	2	1	1	1
100302278	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
645520	4	8	4	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1
79501	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
100996442	31	48	36	32	29	38	28	31	40	97	89	109	47	84	49	25	30	33	60	62	39
729737	139	153	135	133	150	152	172	164	157	140	133	127	63	91	63	386	368	378	204	257	196
102725121	5	2	2	2	3	1	2	4	1	89	69	74	36	47	41	2	1	3	2	2	0
102723897	216	211	224	176	208	311	245	253	228	714	766	753	549	768	703	208	186	208	184	211	169
102465909	2	1	2	2	2	3	3	2	3	10	15	12	11	13	8	2	4	3	2	3	3
107985721	2	0	1	0	0	0	0	0	0	7	9	12	2	2	1	3	1	3	2	3	2
112268260	36	33	20	32	37	60	36	36	42	37	42	40	27	46	29	32	26	31	72	88	43
729759	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
100132287	190	203	196	153	191	214	214	235	193	228	233	209	95	146	91	526	511	548	293	361	258
105378947	2	3	3	4	4	7	4	3	6	5	3	4	4	4	2	4	2	6	17	12	5
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
113219467	30	34	36	29	34	47	40	29	38	1133	1401	1199	1010	1502	1648	32	50	67	48	56	46
81399	1	5	2	0	2	7	3	2	6	9	9	6	2	3	2	3	7	9	3	11	7
100133331	160	183	162	147	176	178	188	205	182	269	269	269	101	154	99	493	409	437	259	317	254
107984841	5	10	8	5	6	4	4	10	9	32	45	34	14	23	14	16	12	23	12	14	13
107984847	13	19	12	13	12	12	12	11	12	62	82	83	38	32	19	38	34	41	15	26	24
107984849	0	3	1	0	0	1	0	3	2	10	13	8	6	5	3	7	1	3	0	6	1
100288069	14	13	16	12	11	15	19	18	24	97	83	107	38	47	21	14	18	17	17	18	17
105378580	4	2	3	3	2	2	5	4	2	67	56	76	43	54	40	6	8	12	10	9	7
400728	0	0	2	1	1	2	1	1	3	55	42	35	26	32	21	9	10	8	14	13	10
79854	5	5	4	5	0	7	5	6	8	40	45	41	32	47	32	9	18	22	19	18	16
643837	103	137	123	85	107	156	59	51	67	2532	2423	2382	1634	2500	1883	331	317	348	295	344	326
107984850	1	0	0	0	0	0	0	0	1	2	2	3	2	1	0	0	0	0	0	1	2
284593	1	2	5	3	2	1	4	2	3	3	2	4	0	1	1	2	2	1	1	1	1
284600	214	197	223	130	148	206	175	180	185	593	732	655	33	57	44	462	415	456	90	122	99
100130417	31	37	35	17	24	39	28	31	18	927	1053	995	510	792	817	145	183	190	84	112	76
107985728	35	21	35	11	8	15	13	9	9	1317	1505	1315	671	1110	773	145	118	126	87	97	84
148398	571	585	619	480	516	784	500	458	402	2548	2694	2324	1143	1964	2395	461	441	527	343	403	351
26155	7513	8215	8187	6760	7964	11605	6768	6756	6247	4875	4665	4662	2421	3627	3310	3331	3233	3701	3050	3377	3080
339451	588	537	545	321	428	595	353	353	292	435	527	482	269	415	334	634	634	660	432	542	427
84069	418	363	395	150	189	238	173	160	141	434	468	454	159	240	198	501	503	548	380	482	385
84808	60	56	54	18	30	38	30	22	22	77	59	69	38	59	56	94	96	99	103	115	104
57801	334	348	345	206	258	382	143	132	132	240	232	244	562	925	925	311	348	368	935	1094	863
9636	4285	4438	4500	2452	2851	4594	2270	2119	2008	155	149	143	325	455	538	1363	1349	1469	1306	1154	1137
375790	5990	6511	6851	3453	3962	5647	2875	2775	2482	7892	7492	7365	5200	7587	6525	5485	5079	5650	4411	4861	4234
100288175	50	50	42	36	53	77	51	54	52	59	58	60	41	54	59	56	68	64	54	71	57
112267874	13	7	7	14	18	23	21	15	17	22	23	22	19	27	32	81	72	97	63	87	80
105378948	41	47	46	42	57	77	60	67	65	159	163	162	87	120	114	152	183	191	92	96	82
401934	3	1	4	0	2	2	3	0	1	45	51	40	46	59	54	61	51	73	168	215	190
54991	415	414	429	316	334	554	363	330	314	364	403	378	285	413	362	179	162	217	206	267	194
254099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	2	5	8	2	7	4	7	3	4	3	5	5
